Approved Symbol	Phenotypes
PEX5	Peroxisome biogenesis disorder 2A (Zellweger), Autosomal recessive;Peroxisome biogenesis disorder 2B, Autosomal recessive;Rhizomelic chondrodysplasia punctata, type 5, Autosomal recessive
GDF3	Klippel-Feil syndrome 3, autosomal dominant;Microphthalmia with coloboma 6;Microphthalmia, isolated 7
AICDA	Immunodeficiency with hyper-IgM, type 2, Autosomal recessive
MFAP5	Aortic aneurysm, familial thoracic 9, Autosomal dominant
A2M	Alpha-2-macroglobulin deficiency, Autosomal dominant
DFNB62	Deafness, autosomal recessive 62, Autosomal recessive
CLEC7A	Candidiasis, familial, 4, autosomal recessive, Autosomal recessive
ETV6	Leukemia, acute myeloid, somatic;Thrombocytopenia 5, Autosomal dominant
LRP6	Tooth agenesis, selective, 7, Autosomal dominant
CDKN1B	Multiple endocrine neoplasia, type IV, Autosomal dominant
GRIN2B	Epileptic encephalopathy, early infantile, 27, Autosomal dominant;Mental retardation, autosomal dominant 6
GUCY2C	Diarrhea 6, Autosomal dominant;Meconium ileus, Autosomal recessive
MGP	Keutel syndrome, Autosomal recessive
PDE6H	Achromatopsia 6, Autosomal recessive, Autosomal dominant;Retinal cone dystrophy 3, Autosomal recessive, Autosomal dominant
PTPRO	Nephrotic syndrome, type 6, Autosomal recessive
PDE3A	Hypertension and brachydactyly syndrome, Autosomal dominant
SLCO1B3	Hyperbilirubinemia, Rotor type, digenic, Digenic recessive
SLCO1B1	Hyperbilirubinemia, Rotor type, digenic, Digenic recessive
PYROXD1	Myopathy, myofibrillar, 8, Autosomal recessive
GYS2	Glycogen storage disease 0, liver, Autosomal recessive
ABCC9	Atrial fibrillation, familial, 12, Autosomal dominant;Cardiomyopathy, dilated, 1O;Hypertrichotic osteochondrodysplasia, Autosomal dominant
SOX5	Lamb-Shaffer syndrome, Autosomal dominant
KRAS	Bladder cancer, somatic;Breast cancer, somatic;Cardiofaciocutaneous syndrome 2;Gastric cancer, somatic;Leukemia, acute myeloid, Autosomal dominant;Lung cancer, somatic;Noonan syndrome 3;Pancreatic carcinoma, somatic;RAS-associated autoimmune leukoproliferative disorder, Autosomal dominant;Schimmelpenning-Feuerstein-Mims syndrome, somatic mosaic
AD5	Alzheimer disease-5, Autosomal dominant
PTHLH	Brachydactyly, type E2, Autosomal dominant;Humoral hypercalcemia of malignancy (1)
DDX11	Warsaw breakage syndrome, Autosomal recessive
FGD4	Charcot-Marie-Tooth disease, type 4H, Autosomal recessive
DNM1L	Encephalopahty, lethal, due to defective mitochondrial peroxisomal fission 1, Autosomal dominant
YARS2	Myopathy, lactic acidosis, and sideroblastic anemia 2, Autosomal recessive
PKP2	Arrhythmogenic right ventricular dysplasia 9, Autosomal dominant
KIF21A	Fibrosis of extraocular muscles, congenital, 1, Autosomal dominant;Fibrosis of extraocular muscles, congenital, 3B, Autosomal dominant
PRICKLE1	Epilepsy, progressive myoclonic 1B, Autosomal recessive
IRAK4	IRAK4 deficiency;Invasive pneumococcal disease, recurrent isolated, 1
ANO6	Scott syndrome, Autosomal recessive
ENUR2	Enuresis, nocturnal, 2, Autosomal dominant
MRT25	Mental retardation, autosomal recessive 25, Autosomal recessive
VDR	Rickets, vitamin D-resistant, type IIA, Autosomal recessive
COL2A1	Achondrogenesis, type II or hypochondrogenesis, Autosomal dominant;Avascular necrosis of the femoral head, Autosomal dominant;Czech dysplasia, Autosomal dominant;Epiphyseal dysplasia, multiple, with myopia and deafness, Autosomal dominant;Kniest dysplasia, Autosomal dominant;Legg-Calve-Perthes disease, Autosomal dominant;Osteoarthritis with mild chondrodysplasia, Autosomal dominant;Otospondylomegaepiphyseal dysplasia, Autosomal recessive;Platyspondylic skeletal dysplasia, Torrance type, Autosomal dominant;SED congenita, Autosomal dominant;SMED Strudwick type, Autosomal dominant;Spondyloepiphyseal dysplasia, Stanescu type, Autosomal dominant;Spondyloperipheral dysplasia, Autosomal dominant;Stickler sydrome, type I, nonsyndromic ocular, Autosomal dominant;Stickler syndrome, type I, Autosomal dominant;Vitreoretinopathy with phalangeal epiphyseal dysplasia (3)
PFKM	Glycogen storage disease VII, Autosomal recessive
CCDC65	Ciliary dyskinesia, primary, 27, Autosomal recessive
WNT10B	Split-hand/foot malformation 6, Autosomal recessive;Tooth agenesis, selective, 8, Autosomal dominant
WNT1	Osteogenesis imperfecta, type XV, Autosomal recessive
KMT2D	Kabuki syndrome 1, Autosomal dominant
DHH	46XY partial gonadal dysgenesis, with minifascicular neuropathy;46XY sex reversal 7, Autosomal recessive
TUBA1A	Lissencephaly 3, Autosomal dominant
AQP2	Diabetes insipidus, nephrogenic, Autosomal recessive, Autosomal dominant
AQP5	Palmoplantar keratoderma, Bothnian type, Autosomal dominant
GPD1	Hypertriglyceridemia, transient infantile, Autosomal recessive
DIP2B	Mental retardation, FRA12A type, Autosomal dominant
SLC11A2	Anemia, hypochromic microcytic, with iron overload 1, Autosomal recessive
SCN8A	Epileptic encephalopathy, early infantile, 13, Autosomal dominant;Seizures, benign familial infantile, 5, Autosomal dominant
ACVRL1	Telangiectasia, hereditary hemorrhagic, type 2, Autosomal dominant
ACVR1B	Pancreatic cancer, somatic (3)
KRT86	Monilethrix, Autosomal dominant
KRT81	Monilethrix, Autosomal dominant
KRT85	Ectodermal dysplasia 4, hair/nail type, Autosomal recessive
KRT6B	Pachyonychia congenita 4
KRT6C	Palmoplantar keratoderma, nonepidermolytic, focal or diffuse, Autosomal dominant
KRT6A	Pachyonychia congenita 3
KRT5	Dowling-Degos disease 1, Autosomal dominant;Epidermolysis bullosa simplex, Dowling-Meara type, Autosomal dominant;Epidermolysis bullosa simplex, Koebner type, Autosomal dominant;Epidermolysis bullosa simplex, Weber-Cockayne type, Autosomal dominant;Epidermolysis bullosa simplex, recessive 1, Autosomal recessive;Epidermolysis bullosa simplex-MP, Autosomal dominant;Epidermylysis bullosa simplex-MCR
KRT74	Woolly hair, autosomal dominant, Autosomal dominant
KRT2	Ichthyosis bullosa of Siemens, Autosomal dominant
KRT1	Epidermolytic hyperkeratosis, Autosomal recessive, Autosomal dominant;Ichthyosis histrix, Curth-Macklin type, Autosomal dominant;Ichthyosis, cyclic, with epidermolytic hyperkeratosis, Autosomal dominant;Keratosis palmoplantaris striata III;Palmoplantar keratoderma, epidermolytic, Autosomal dominant;Palmoplantar keratoderma, nonepidermolytic, Autosomal dominant
KRT3	Meesmann corneal dystrophy, Autosomal dominant
KRT4	White sponge nevus 1, Autosomal dominant
KRT8	Cirrhosis, cryptogenic, Autosomal recessive
KRT18	Cirrhosis, cryptogenic, Autosomal recessive
AAAS	Achalasia-addisonianism-alacrimia syndrome, Autosomal recessive
AMHR2	Persistent Mullerian duct syndrome, type II, Autosomal recessive
HOXC13	Ectodermal dysplasia 9, hair/nail type, Autosomal recessive
HNRNPA1	Amyotrophic lateral sclerosis 20, Autosomal dominant
ITGA7	Muscular dystrophy, congenital, due to ITGA7 deficiency, Autosomal recessive
RDH5	Fundus albipunctatus, Autosomal recessive, Autosomal dominant
MMP19	Cavitary optic disc anomalies, Autosomal dominant
SUOX	Sulfite oxidase deficiency, Autosomal recessive
RPS26	Diamond-Blackfan anemia 10, Autosomal dominant
ERBB3	Lethal congenital contractural syndrome 2, Autosomal recessive
SLC39A5	Myopia 24, autosomal dominant, Autosomal dominant
STAT2	Immunodeficiency 44, Autosomal recessive
MIP	Cataract 15, multiple types
TAC3	Hypogonadotropic hypogonadism 10 with or without anosmia, Autosomal recessive
STAC3	Native American myopathy, Autosomal recessive
MARS	Charcot-Marie-Tooth disease, axonal, type 2U, Autosomal dominant;Interstitial lung and liver disease, Autosomal recessive
DDIT3	Myxoid liposarcoma
KIF5A	Myoclonus, intractable, neonatal, Autosomal dominant;Spastic paraplegia 10, autosomal dominant, Autosomal dominant
B4GALNT1	Spastic paraplegia 26, autosomal recessive, Autosomal recessive
CYP27B1	Vitamin D-dependent rickets, type I, Autosomal recessive
TSFM	Combined oxidative phosphorylation deficiency 3, Autosomal recessive
DPY19L2	Spermatogenic failure 9, Autosomal recessive
TMEM5	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 10, Autosomal recessive
TBK1	Frontotemporal dementia and/or amyotrophic lateral sclerosis 4, Autosomal dominant
GNS	Mucopolysaccharidosis type IIID, Autosomal recessive
LEMD3	Buschke-Ollendorff syndrome, Autosomal dominant;Melorheostosis with osteopoikilosis, Isolated cases;Osteopoikilosis, Autosomal dominant
MSRB3	Deafness, autosomal recessive 74, Autosomal recessive
HMGA2	Leiomyoma, uterine, somatic
GRIP1	Fraser syndrome, Autosomal recessive
NUP107	Nephrotic syndrome, type 11, Autosomal recessive
LYZ	Amyloidosis, renal, Autosomal dominant
MYP3	Myopia-3, Autosomal dominant
BBS10	Bardet-Biedl syndrome 10, Autosomal recessive
OTOGL	Deafness, autosomal recessive 84B, Autosomal recessive
PTPRQ	Deafness, autosomal recessive 84A, Autosomal recessive
MYF6	Myopathy, centronuclear, 3, Autosomal dominant
CEP290	Joubert syndrome 5, Autosomal recessive;Leber congenital amaurosis 10;Meckel syndrome 4, Autosomal recessive;Senior-Loken syndrome 6, Autosomal recessive
TMTC3	Lissencephaly 8, Autosomal recessive
KITLG	Deafness, autosomal dominant 69, unilateral or asymmetric, Autosomal dominant;Hyperpigmentation with or without hypopigmentation, Autosomal dominant
CNA1	Cornea plana 1, autosomal dominant, Autosomal dominant
DUSP6	Hypogonadotropic hypogonadism 19 with or without anosmia, Autosomal dominant
POC1B	Cone-rod dystrophy 20, Autosomal recessive
KERA	Cornea plana 2, autosomal recessive, Autosomal recessive
DCN	Corneal dystrophy, congenital stromal, Autosomal dominant
CRADD	Mental retardation, autosomal recessive 34, with variant lissencephaly, Autosomal recessive
CEP83	Nephronophthisis 18, Autosomal recessive
NDUFA12	Leigh syndrome due to mitochondrial complex 1 deficiency, Autosomal recessive, Mitochondrial
SPG36	Spastic paraplegia 36, autosomal dominant, Autosomal dominant
SLC25A3	Mitochondrial phosphate carrier deficiency
SLC17A8	Deafness, autosomal dominant 25, Autosomal dominant
NR1H4	Cholestasis, progressive familial intrahepatic, 5, Autosomal recessive
MYBPC1	Arthrogryposis, distal, type 1B;Lethal congenital contracture syndrome 4, Autosomal recessive
SYCP3	Pregnancy loss, recurrent, 4, Autosomal dominant;Spermatogenic failure 4, Autosomal dominant
GNPTAB	Mucolipidosis II alpha/beta, Autosomal recessive;Mucolipidosis III alpha/beta, Autosomal recessive
IGF1	Growth retardation with deafness and mental retardation due to IGF1 deficiency, Autosomal recessive
PAH	Phenylketonuria, Autosomal recessive
ASCL1	Central hypoventilation syndrome, congenital, Autosomal dominant;Haddad syndrome, Autosomal dominant
POLR3B	Leukodystrophy, hypomyelinating, 8, with or without oligodontia and/or hypogonadotropic hypogonadism, Autosomal recessive
ISCU	Myopathy with lactic acidosis, hereditary, Autosomal recessive
UNG	Immunodeficiency with hyper IgM, type 5, Autosomal recessive
UBE3B	Kaufman oculocerebrofacial syndrome, Autosomal recessive
MMAB	Methylmalonic aciduria, vitamin B12-responsive, due to defect in synthesis of adenosylcobalamin, cblB complementation type, Autosomal recessive
MVK	Hyper-IgD syndrome, Autosomal recessive;Mevalonic aciduria, Autosomal recessive;Porokeratosis 3, multiple types, Autosomal dominant
TRPV4	Brachyolmia type 3, Autosomal dominant;Digital arthropathy-brachydactyly, familial, Autosomal dominant;Hereditary motor and sensory neuropathy, type IIc, Autosomal dominant;Metatropic dysplasia, Autosomal dominant;Parastremmatic dwarfism, Autosomal dominant;SED, Maroteaux type, Autosomal dominant;Scapuloperoneal spinal muscular atrophy, Autosomal dominant;Spinal muscular atrophy, distal, congenital nonprogressive, Autosomal dominant;Spondylometaphyseal dysplasia, Kozlowski type, Autosomal dominant
ATP2A2	Acrokeratosis verruciformis, Autosomal dominant;Darier disease, Autosomal dominant
TCTN1	Joubert syndrome 13, Autosomal recessive
MYL2	Cardiomyopathy, hypertrophic, 10
SH2B3	Erythrocytosis, somatic;Myelofibrosis, somatic;Thrombocythemia, somatic
ATXN2	Spinocerebellar ataxia 2, Autosomal dominant
ALDH2	Alcohol sensitivity, acute, Autosomal dominant
PTPN11	LEOPARD syndrome 1, Autosomal dominant;Leukemia, juvenile myelomonocytic, somatic;Metachondromatosis, Autosomal dominant;Noonan syndrome 1, Autosomal dominant
NIDDM2	Diabetes mellitus, noninsulin-dependent, 2
TBX5	Holt-Oram syndrome, Autosomal dominant
TBX3	Ulnar-mammary syndrome, Autosomal dominant
MED13L	Mental retardation and distinctive facial features with or without cardiac defects, Autosomal dominant;Transposition of the great arteries, dextro-looped 1, Autosomal dominant
HSPB8	Charcot-Marie-Tooth disease, axonal, type 2L, Autosomal dominant;Neuropathy, distal hereditary motor, type IIA, Autosomal dominant
CIT	Microcephaly 17, primary, autosomal recessive, Autosomal recessive
COX6A1	Charcot-Marie-Tooth disease, recessive intermediate D, Autosomal recessive
ACADS	Acyl-CoA dehydrogenase, short-chain, deficiency of, Autosomal recessive
HNF1A	Diabetes mellitus, insulin-dependent, 20;Hepatic adenoma, somatic;MODY, type III, Autosomal dominant;Renal cell carcinoma
ORAI1	Immunodeficiency 9, Autosomal recessive;Myopathy, tubular aggregate, 2, Autosomal dominant
HPD	Hawkinsinuria, Autosomal dominant;Tyrosinemia, type III, Autosomal recessive
BCL7A	B-cell non-Hodgkin lymphoma, high-grade (3)
DIABLO	Deafness, autosomal dominant 64, Autosomal dominant
VPS33A	Mucopolysaccharidosis-plus syndrome, Autosomal recessive
C12orf65	Combined oxidative phosphorylation deficiency 7, Autosomal recessive;Spastic paraplegia 55, autosomal recessive, Autosomal recessive
EIF2B1	Leukoencephalopathy with vanishing white matter, Autosomal recessive
TCTN2	Joubert syndrome 24, Autosomal recessive
ATP6V0A2	Cutis laxa, autosomal recessive, type IIA, Autosomal recessive;Wrinkly skin syndrome, Autosomal recessive
PUS1	Myopathy, lactic acidosis, and sideroblastic anemia 1, Autosomal recessive
P2RX2	Deafness, autosomal dominant 41, Autosomal dominant
POLE	FILS syndrome, Autosomal recessive
GJA3	Cataract 14, multiple types, Autosomal dominant
GJB2	Bart-Pumphrey syndrome, Autosomal dominant;Deafness, autosomal dominant 3A, Autosomal dominant;Deafness, autosomal recessive 1A, Autosomal recessive, Digenic dominant;Hystrix-like ichthyosis with deafness, Autosomal dominant;Keratitis-ichthyosis-deafness syndrome, Autosomal dominant;Keratoderma, palmoplantar, with deafness, Autosomal dominant;Vohwinkel syndrome, Autosomal dominant
GJB6	Deafness, autosomal dominant 3B, Autosomal dominant;Deafness, autosomal recessive 1B, Autosomal recessive;Deafness, digenic GJB2/GJB6, Autosomal recessive, Digenic dominant;Ectodermal dysplasia 2, Clouston type, Autosomal dominant
SGCG	Muscular dystrophy, limb-girdle, type 2C, Autosomal recessive
SACS	Spastic ataxia, Charlevoix-Saguenay type, Autosomal recessive
MIPEP	Combined oxidative phosphorylation deficiency 31, Autosomal recessive
CENPJ	Microcephaly 6, primary, autosomal recessive, Autosomal recessive
RNF6	Esophageal carcinoma, somatic
RPL21	Hypotrichosis 12, Autosomal dominant
POLR1D	Treacher Collins syndrome 2, Autosomal dominant
PDX1	MODY, type IV;Pancreatic agenesis 1, Autosomal recessive
FLT3	Leukemia, acute lymphoblastic, somatic;Leukemia, acute myeloid, reduced survival in, somatic;Leukemia, acute myeloid, somatic
POMP	Keratosis linearis with ichthyosis congenita and sclerosing keratoderma, Autosomal recessive
B3GLCT	Peters-plus syndrome, Autosomal recessive
ENUR1	Enuresis, nocturnal, 1, Autosomal dominant
BRCA2	Fanconi anemia, complementation group D1, Autosomal recessive;Wilms tumor, Autosomal dominant, Somatic mutation
KL	Tumoral calcinosis, hyperphosphatemic, Autosomal recessive
SPG20	Troyer syndrome, Autosomal recessive
RFXAP	Bare lymphocyte syndrome, type II, complementation group D, Autosomal recessive
SMAD9	Pulmonary hypertension, primary, 2, Autosomal dominant
EXOSC8	Pontocerebellar hypoplasia, type 1C, Autosomal recessive
FREM2	Fraser syndrome, Autosomal recessive
RIEG2	Rieger syndrome, type 2, Autosomal dominant
SPG24	Spastic paraplegia 24, autosomal recessive, Autosomal recessive
COG6	Congenital disorder of glycosylation, type IIl, Autosomal recessive;Shaheen syndrome, Autosomal recessive
FOXO1	Rhabdomyosarcoma, alveolar, Autosomal recessive
SLC25A15	Hyperornithinemia-hyperammonemia-homocitrullinemia syndrome, Autosomal recessive
TNFSF11	Osteopetrosis, autosomal recessive 2, Autosomal recessive
SUCLA2	Mitochondrial DNA depletion syndrome 5 (encephalomyopathic with or without methylmalonic aciduria), Autosomal recessive
ITM2B	Dementia, familial British, Autosomal dominant;Dementia, familial Danish, Autosomal dominant
RB1	Bladder cancer, somatic;Osteosarcoma, somatic;Retinoblastoma, Autosomal dominant, Somatic mutation;Retinoblastoma, trilateral, Autosomal dominant, Somatic mutation;Small cell cancer of the lung, somatic
LPAR6	Hypotrichosis 8, Autosomal recessive;Woolly hair, autosomal recessive 1, with or without hypotrichosis, Autosomal recessive
RCBTB1	Retinal dystrophy with or without extraocular anomalies, Autosomal recessive
RNASEH2B	Aicardi-Goutieres syndrome 2, Autosomal recessive
ATP7B	Wilson disease, Autosomal recessive
ALG11	Congenital disorder of glycosylation, type Ip, Autosomal recessive
ATXN8	Spinocerebellar ataxia 8, Autosomal dominant
DIAPH3	Auditory neuropathy, autosomal dominant, 1, Autosomal dominant
